docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
nyp.33433074911300,"Summersett, Henry",,,m,uk,1774-,1801,,1801,3,3,v. 1,London;R. Dutton;1801.,Fiction,English fiction,novel,"Martyn of Fenrose; or, The wizard and the sword. A romance"
nyp.33433074954953,"Cullen, Margaret",,,f,uk,,1802,,1802,4,4,v. 2,London;J. Mawman;1802.,Fiction,,novel,Home. A novel
uiuo.ark+=13960=t80k31t81,West,"West, Jane",,f,uk,1758-1852,1802,,1802,3,3,v.3,"London;Printed by A. Strahan, for T.N. Longman and O. Rees;1802.",,,novel,The infidel father
hvd.hn2tpv,"Hunter, Rachel",,,f,uk,1754-1813.,1803,,1803,4,4,v.3,"London;Printed for W. Robberds, Norwich; sold by Longman and Rees;1803.",NotFiction,,novel,Letters from Mrs. Palmerstone to her daughter; inculcating morality by entertaining narratives
uc1.b248232,,"Glasse, George Henry",,m,uk,1761-1809,1804,,1804,2,2,,London;Printed and Published by A. Neil;1804.,,Chapbooks,novel,The affecting history of Louisa
uiuo.ark+=13960=t1pg2cj2j,"Edgeworth, Maria",,,f,uk,1767-1849.,1804,1800,1804,13,6,v.1,"London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.",Fiction|NotFiction,"Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life",juvenile | shortstories,Popular tales
nyp.33433074915137,"Morgan, (Sydney), Lady",,,f,ir,1781-1859.,1806,,1806,11,11,v. 3,London;Printed for R. Phillips;1806.,London|NotFiction|England|Fiction|Novels,,novel,The novice of Saint Dominick
uiuo.ark+=13960=t14m9ft6z,Bennett,"Bennett, Anna Maria",,f,uk,1750-1808,1806,,1806,4,4,v.1,"London;Printed at the Minerva Press, for Lane, Newman, and Co.;1806.",,,novel,Vicissitudes abroad;
uiuo.ark+=13960=t9s18bv5j,"Frances, Sophia L",,,f,,,1806,,1806,4,4,v.3,"London;Printed at the Minerva Press, for Lane, Newman;1806.",,,novel,"Vivonio, or, The hour of retribution"
uiuo.ark+=13960=t63498m8d,"Roche, Regina Maria",,,f,uk,1764-1845.,1807,,1807,5,5,v.2,"London;Printed at the Minerva Press, for Lane, Newman, and Co.;1807.",,,novel,The discarded son;
mdp.39076006602259,"Mackenzie, Henry",,,m,uk,1745-1831.,1808,1773,1808,3,3,v.2,"Edinburgh;Printed by J. Ballantyne and co. for A. Constable and co.; [etc., etc.;1808.",NotFiction,"Lord|1711-1792|1745-1795|Tytler, William|Blacklock, Thomas|Abercromby, Alexander Abercromby|1721-1791",reprint,Man of the world (cont
mdp.39076006602267,"Mackenzie, Henry",,,m,uk,1745-1831.,1808,1777,1808,10,7,v.3,"Edinburgh;Printed by J. Ballantyne and co. for A. Constable and co.; [etc., etc.;1808.",Bibliographies|Fiction|NotFiction,"Lord|1711-1792|1745-1795|Tytler, William|Blacklock, Thomas|Abercromby, Alexander Abercromby|1721-1791",reprint,Julia de Roubigné
nyp.33433074917851,"Carter, Elizabeth",,,f,,1717-1806.,1809,,1806,9,9,v. 2,London;F. C. and J. Rivington;1809.,London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments,"Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine",nonfic,"A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington"
uc1.b3287723,"Cumberland, Richard",,,m,uk,1732-1811.,1809,,1809,7,7,v.2,"London;Printed for Lackington, Allen, and Co.;1809.",Fiction|NotFiction,English fiction,novel,John de Lancaster.  A novel
pst.000006711085,"Roche, Regina Maria",,,f,uk,1764?-1845.,1810,1796,1810,21,16,v.2,London;Newman;1810.,Fiction|UnknownGenre|NotFiction,,novel,The children of the abbey : a tale
nyp.33433075840201,Pigault-Lebrun,"de l’Espinoy, Charles-Antoine-Guillaume-Pigault",Pigault-Lebrun,m,fr,1753-1835.,1810,1795,1810,2,2,v. 2,New York;Printed for J. Brannan;1810.,Fiction,,novel,My Uncle Thomas : a romance
njp.32101069157384,"Madame Cottin, (Sophie)",,,f,fr,1770-1807.,1810,1800,1807,3,3,v.4,London;Chapple;1810.,NotFiction,,novel,Malvina
uiuo.ark+=13960=t0ms4br6q,"Holstein, Anthony Frederick",,"Holstein, Anthony Frederick",m,uk,,1811,,1811,3,3,v.2,"London;Printed at the Minerva-Press, for A.K. Newmann;1811.",,,novel,"The inhabitants of Earth, or, The follies of woman"
mdp.39015063977196,"Stuart, Augusta Amelia",,,f,,,1812,,1812,4,4,v.4,London;A. K. Newman and co.;1812.,Fiction,,novel,"Cava of Toledo; or, The Gothic princess. A romance"
njp.32101066755073,"Burney, Sarah Harriet",,,f,uk,1772-1844.,1812,,1812,13,13,vol.4,London;Printed for H.Colburn;1812.,Fiction|NotFiction,,novel,Traits of nature
nyp.33433075729909,"Edgeworth, Maria",,,f,uk,1767-1849.,1813,,1813,5,5,v. 2,Poughkeepsie;Printed by Paraclete Potter;1813.,Juvenile audience|NotFiction|Fiction,English fiction,shortstories,Murad the unlucky. The manufacturers. The contrast. The grateful Negro. To-morrow
uiuo.ark+=13960=t7qn6n28p,"Kelly, Isabella",,,f,uk,1759-1857,1813,,1813,4,4,v.4,"London;J. Souter, sold by Mr. Mozley;1813.",,,novel,"Jane de Dunstanville, or, Characters as they are"
njp.32101068177995,"Hervey, Elizabeth",,,f,uk,1748-1820,1814,,1814,8,8,vol.2,London;H. Colburn;1814.,Fiction,,novel,"Amabel; or, Memoirs of a woman of fashion"
nyp.33433074919659,"Williams, William",,,m,uk,1717-1791.,1815,,1791,12,12,v. 2,London;J. Murray;1815.,NotFiction,"Eagles, John|ed|1783-1855",novel,"The journal of Llewellin Penrose, a seaman"
nyp.33433067303846,"Mathers, John",,,m,uk,1783-1855,1815,,1815,9,7,v. 1,Boston;Printed and published by Wells and Lilly;1815.,Fiction,English fiction,novel,"The history of Mr. John Decastro and his brother Bat, commonly called Old Crab"
uiuo.ark+=13960=t4cn7c75m,Algernon,,Algernon,,,,1815,,1815,3,3,v.1,London;J. Johnston;1815.,,,novel,"The royal wanderer, or, The exile of England"
uiuo.ark+=13960=t8z89vv9r,"Scott, Walter, Sir",,,m,uk,1771-1832.,1816,,1816,26,26,v.4,Edinburgh;W. Blackwood;London;J. Murray;1816.,Fiction|NotFiction,Scottish authors|Scotland|Jacobites|English fiction|Fiction|Covenanters,novel,Tales of my landlord
uc1.b4104602,"Ross, Mrs",,,,,d. 1892.,1817,,1817,7,7,v.2,London;Printed at the Minerva Press for A. K. Newman;1817.,Fiction,,,"The balance of comfort, or, The old maid and married woman : a novel"
uiuo.ark+=13960=t4pk0nx1d,"Brown, Thomas",,,,,,1818,,1818,3,3,v.3,"London;Printed for the author [B. Clarke, printer;1818.",,Fiction|Bath (England),,Bath;
uiuo.ark+=13960=t6543bw1s,"Smith, Charlotte Turner",,,,,1749-1806.,1821,,1806,3,3,v.2,London;Printed for W. Wright;1821.,,,,The republican's mistress;
njp.32101067640746,"Moore, Alicia Radford",,,,,,1821,,1821,4,4,v.3,"London;Baldwin, Cradock, and Joy;1821.",Fiction,,,"The sisters: a novel, in four volumes"
hvd.hwp4r8,"Ward, R. Plumer (Robert Plumer)",,,,,1765-1846.,1825,,1825,15,15,3,Philadelphia;E. Littell ...;1825.,Fiction,,,"Tremaine, or, The man of refinement. In three volumes"
uc2.ark+=13960=t6057h16c,"Llanos Guti??rrez, Valent?_n",,,,,,1826,,1826,2,2,v.1,London;H. Colburn;1826.,,,,Sandoval
uiuo.ark+=13960=t39z9dz6w,"Battersby, John",,,,,,1826,,1826,3,3,v.3,London;Printed by J. Mallett and sold by J. Wallis;1826.,,,,Tell-tale Sophas
wu.89101370583,"Smith, Horace",,,,,1779-1849.,1826,,1826,16,16,v.1,London;Henry Colburn;1826.,Fiction|NotFiction,"Commonwealth and Protectorate, 1649-1660|Fiction|History",,"Brambletye house : or, Cavaliers and roundheads : a novel"
uc2.ark+=13960=t7jq0zj72,"Burdett, C. D, Mrs",,,,,,1827,,1827,6,6,v.0001,London;H. Colburn;1827.,Fiction,,,English fashionables abroad
njp.32101068972866,"Lauder, Thomas Dick, Sir",,,,,1784-1848.,1827,,1827,2,2,vol.2,Edinburgh|Printed for Cadell|1827.,Fiction,,,The Wolfe of Badenoch : a historical romance of the fourteenth century
uc2.ark+=13960=t8sb40478,"Banim, John",,,,,1798-1842.,1828,,1828,13,9,v.1,London;H. Colburn;1828.,Bibliographies|Fiction,Ireland|Fiction|British|Fiction|History|Social life and customs|19th century,,The Anglo-Irish of the nineteenth century
uc2.ark+=13960=t3cz3724j,"Normanby, Constantine Henry Phipps",,,,,,1828,,1828,2,2,v.1,London;H. Colburn;1828.,,,,Yes and no
