Year,volnum,pagenum,title,author,periodical,sentiment,genre
1998,94,44,Even the stars look lonesome,"Angelou, Maya",Booklist,+,nonfiction
1998,94,44,Even the stars look lonesome,"Angelou, Maya",Libr J,+,nonfiction
1998,94,44,The hand I fan with,"Ansa, Tina McElroy",Booklist,+,
1998,94,44,The hand I fan with,"Ansa, Tina McElroy",MultiCult Rev,-,
1998,94,44,The hand I fan with,"Ansa, Tina McElroy",N Y Times Book Rev,+/-,
1998,94,76,Black dog of fate; a memoir,"Balakian, Peter",Choice,+,memoir
1998,94,76,Black dog of fate; a memoir,"Balakian, Peter",Libr J,+,memoir
1998,94,76,Black dog of fate; a memoir,"Balakian, Peter",N Y Times Book Rev,+,memoir
1998,94,180,Visitors: a novel,"Brookner, Anita",Booklist,+,
1998,94,180,Visitors: a novel,"Brookner, Anita",Times Lit Suppl,-,
1998,94,312,The Boggart and the monster,"Cooper, Susan",Booklist,+/-,juvenile
1998,94,312,The Boggart and the monster,"Cooper, Susan",Bull Cent Child Books,+/-,juvenile
1998,94,312,The Boggart and the monster,"Cooper, Susan",Horn Book,+,juvenile
1998,94,397,Kissing the witch: old tales in new skins,"Donoghue, Emma",Booklist,+,fairy tale
1998,94,397,Kissing the witch: old tales in new skins,"Donoghue, Emma",N Y Times Book Rev,+,fairy tale
1998,94,397,Kissing the witch: old tales in new skins,"Donoghue, Emma",SLJ,+/-,fairy tale
1998,94,431,The gingerbread boy,"Egielski, Richard",Booklist,+,fairy tale|juvenile
1998,94,431,The gingerbread boy,"Egielski, Richard",Horn Book,+,fairy tale|juvenile
1998,94,431,The gingerbread boy,"Egielski, Richard",SLJ,+,fairy tale|juvenile
1998,94,529,The mirror: a novel,"Freed, Lynn",Booklist,+,
1998,94,529,The mirror: a novel,"Freed, Lynn",N Y Times Book Rev,+,
1998,94,570,"The Calcutta chromosome: a novel of fevers, delirium & discovery","Ghosh, Amitav",Booklist,+/-,science fiction
1998,94,570,"The Calcutta chromosome: a novel of fevers, delirium & discovery","Ghosh, Amitav",N Y Times Book Rev,+/-,science fiction
1998,94,570,"The Calcutta chromosome: a novel of fevers, delirium & discovery","Ghosh, Amitav",World Lit Today,+,science fiction
1998,94,719,The president’s daughter,"Higgins, Jack",Booklist,+,
1998,94,719,The president’s daughter,"Higgins, Jack",N Y Times Book Rev,+/-,
