	docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	category	shorttitle
0	nyp.33433076025596	M'Henry, James	McHenry, James		m	us	1785-1845.	1848	1823.0	1845	1	1	v. 1-2	Pittsburgh;M. P. Morse;18		1732-1799|Fiction|Washing	novel	The wilderness : or, Braddock's times; A tale of the West
1	wu.89087902169	Applin, Arthur		Smith, Julian	m	uk	1883-	1929		1929	1	1		New York|H. Liveright|192	NotFiction		novel	The chronicles of a gigolo
2	uc1.$b323629	March, William			m	us	1893-1954.	1939		1939	2	2		Boston|Little, Brown and 	NotFiction		shortstories	Some like them short
3	uc1.$b318317	Rosny, J. H., aÃ®nÃ©, pseud. of J. H. BoÃ«x	Boex, Joseph Henri Honoré	Rosny aîné 	m	fr	1856-1940.	1924		1924	1	1		New York|R. M. McBride|19	NotFiction		novel	The giant cat; or, The quest of Aoun and Zouhr
4	mdp.39015005144137	von Strassburg, Gottfried					d. 1210	1960		1960	1	1		Baltimore|Penguin Books|1	NotFiction	Tristan|(Anglo-Norman poe	reprint	Tristan
5	uiuo.ark+=13960=t3zs33v38			The Author	u	uk		1809		1809	1	1	v.4	London;Printed for W. Mil			novel	The English brothers; or, Anecdotes of the Howard family
6	njp.32101064790098	Henry, O	Porter, William Sydney	Henry, O	m	us	1862-1910.	1917		1910	3	3		Garden City, N.Y.;Doubled	Fiction|ContainsBiogMater		shortstories	Waifs and strays, twelve stories
7	mdp.39015024030150	James, C. L. R. (Cyril Lionel Robert)					1901-1989.	1971		1971	2	1		London|New Beacon Books|c	Fiction|NotFiction	Social classes|Fiction|Fi	reprint	Minty Alley
8	uiuo.ark+=13960=t4zg7095h	Dickens, Helen			f	uk		1874		1874	3	3	v.3	London;T. Cautley Newby, 			novel	The mill wheel
9	uc2.ark+=13960=t4zg6j244	Holl, Henry			m			1871		1871	3	3	v.003	London;Tinsley Brothers;1			novel	The golden bait
10	mdp.39015005086817	Dickens, Charles			m	uk	1812-1870.	1867		1867	1	1		Philadelphia;Porter & Coa	Fiction		shortstories	Christmas books. Also, the uncommerical traveller, and additional Christmas stories
