"docid"	"allcopiesofwork"	"author"	"authordate"	"category"	"copiesin25yrs"	"enumcron"	"firstpub"	"gender"	"genres"	"imprint"	"inferreddate"	"latestcomp"	"nationality"	"pseudonym"	"realname"	"shorttitle"	"subjects"
"uc2.ark+=13960=t0ns0rq5j"	5	"Fullerton, Georgiana Charlotte Seveson-Gower, Lady"	"1812-1885"	"novel"	4	"v.3"		"f"	"Fiction"	"London;E. Moxon;1847."	1847	1847	"uk"			"Grantley Manor"	
"uc2.ark+=13960=t9571dq8v"	6	"James, G. P. R. (George Payne Rainsford)"	"1799-1860."	"novel"	6	"v.0003"		"m"		"London;Smith, Elder, & co"	1847	1847	"uk"			"The convict;"	
"uc1.b3123724"	1	"Bryant, John Delavan"	"1811-1877."	"novel"	1	"v. 2"		"m"	"Fiction"	"Baltimore;Printed and pub"	1847	1847				"Pauline Seward. A tale of real life"	
"nyp.33433076025596"	1	"M'Henry, James"	"1785-1845."	"novel"	1	"v. 1-2"	1823	"m"		"Pittsburgh;M. P. Morse;18"	1848	1845	"us"		"McHenry, James"	"The wilderness : or, Braddock's times; A tale of the West"	"1732-1799|Fiction|Washing"
"nyp.33433076074115"	1	"Weston, Maria D."		"novel"	1			"f"	"Fiction"	"Providence;Weeden & Peek;"	1848	1848	"us"			"The Weldron family; or, Vicissitudes of fortune.  A story of real life in New England"	"American fiction"
"uiuo.ark+=13960=t4jm2s41m"	4	"Lewes, George Henry"	"1817-1878."	"novel"	4	"v.3"		"m"		"London;Smith, Elder, and "	1848	1848	"uk"			"Rose, Blanche, and Violet"	"Fiction|London (England)|"
"mdp.39015026613953"	1	"Tubbee, Okah"	"1811-1854"	"novel"	1			"m"	"NotFiction"	"Springfield, Mass.;Printe"	1848	1848	"us"	"Tubbee, Okah"	"McCary, William"	"A sketch of the life of Okah Tubbee, alias, William Chubbee, son of the head chief, Mosholeh Tubbee, of the Choctaw nation of Indians"	"Chocktaw Indians|Social l"
"uc2.ark+=13960=t01z43536"	3	"Costello, Louisa Stuart"	"1799-1870."	"novel"	3	"v.2"		"f"		"London;R. Bentley;1848."	1848	1848				"Clara Fane, or, The contracts of a life"	
"nyp.33433082290754"	1	"Author of Ellen Herbert"		"novel"	1			"u"	"Juvenile audience|Fiction"	"New York;Harper & Brother"	1848	1848				"William the cottager"	"Children's stories, Engli"
"uiuo.ark+=13960=t75t49798"	3	"Wallace, Ellen"		"novel"	3	"v.2"		"f"		"London;Bentley;1848."	1848	1848	"uk"			"Mr. Warrenne, the medical practitioner"	
"uiuo.ark+=13960=t5r790q9k"	3	"Wallace, Ellen"		"novel"	3	"v.1"		"f"		"London;Bentley;1848."	1848	1848	"uk"			"Mr. Warrenne, the medical practitioner"	
"inu.32000000323073"	3	"Earl of Beaconsfield, Disraeli, Benjamin"	"1804-1881."	"novel"	1	"v.8"	1844	"m"	"Fiction|NotFiction"	"New York;Alfred A. Knopf;"	1849	1849	"uk"			"Coningsby : or the new generation"	
"uc1.b3326031"	1	"Skene, Felicia"	"1821-1899."	"novel"	1			"f"	"Fiction"	"London;Francis & John Riv"	1849	1849	"uk"	"Moir, Erskine"		"Use and abuse : a tale"	
"nyp.33433074930110"	8	"Bront�, Charlotte"	"1816-1855."	"novel"	2	"v. 2"		"f"	"Novel|Fiction|NotFiction"	"Leipzig;B. Tauchnitz;1849"	1849	1849	"uk"	"Bell, Currer"		"Shirley : a tale"	"English fiction"
"uiuo.ark+=13960=t0ms43c1g"	1			"novel"	1	"v.2"		"u"		"London;Orger and Meryon;1"	1849	1849				"Excitement"	
"uiuo.ark+=13960=t3nv9vv41"	3	"Harris, Alexander"	"1805-1874."	"novel"	3	"v.1"		"m"		"London;Smith, Elder and C"	1849	1849	"au"			"The emigrant family ;"	
"njp.32101067647816"	4	"James, G. P. R. (George Payne Rainsford)"	"1799-1860."	"novel"	4	"v.3"		"m"	"Fiction"	"London;T.C. Newby;1849."	1849	1849	"uk"		"James, George Payne Rainsford"	"The woodman : a romance of the times of Richard III"	"823J23W1849|Richard III, "
"nyp.33433074947189"	1	"Cockton, Henry"	"1807-1853."	"novel"	1			"m"	"NotFiction"	"New York;Stringer & Towns"	1849	1849	"uk"			"The prince; or, George St. George Julian"	
"uiuo.ark+=13960=t3kw62b3w"	1			"novel"	1	"v.1"		"m"		"London;T.C. Newby;1849."	1849	1849	"uk"		"Scott, Sybil"	"Rough and smooth"	
"loc.ark+=13960=t2891c06r"	1	"Headley, Joel Tyler"	"1813-1897."	"novel"	1			"m"		"New York;Baker and Scribn"	1849	1849	"us"			"The Adirondack;"	"Description and travel|Ne"
"nyp.33433000182612"	1	"Huntley, H. V. (Henry Vere), Sir"	"1795-1864."	"novel"	1			"m"	"Fiction"	"Paris;A. and W. Galignana"	1849	1849	"us"			"Peregrine Scramble : or, Thirty years adventures of a blue jacket"	"English fiction"
"uc2.ark+=13960=t3804z03n"	1	"Roe, A. S"		"novel"	1			"u"		"New York;D. Appleton;c184"	1849	1849				"James Montjoy"	
"njp.32101067630259"	3	"Boyd, Archibald"	"d. 1854."	"novel"	3	"v.1"		"m"	"Fiction"	"London;R. Bentley;1850."	1850	1850	"uk"			"The Duchess; or, Woman's love and woman's hate.  A romance"	
"uc2.ark+=13960=t08w38973"	2	"Rush, Caroline E"		"novel"	2			"f"		"Philadelphia;Crissy & Mar"	1850	1850	"us"			"Way-marks in the life of a wanderer"	
"uiuo.ark+=13960=t73v05w2z"	3	"Pinkney, Jane Vaughan"	"1827-1856"	"novel"	3	"v.1"		"f"		"London;T.C. Newby;1850."	1850	1850	"uk"			"Sir Arthur Bouverie"	
"nyp.33433074969340"	1	"Dickens, Charles"	"1812-1870."	"novel"	1			"m"	"NotFiction"	"New York;Redfield;185?"	1850	1850	"uk"			"Sissy Jupe; from the Hard times of Charles Dickens"	"English fiction"
"nyp.33433076065683"	1	"Brace, John Pierce"	"1793-1872."	"novel"	1			"m"	"NotFiction"	"Hartford, Conn.;S. Andrus"	1850	1850	"us"			"Tales of the devils"	"Devil in literature"
"uiuo.ark+=13960=t8cg07c02"	3	"Mackenzie, R. Shelton (Robert Shelton)"	"1809-1880."	"novel"	3	"v.1"		"m"		"London;Henry Colburn;1850"	1850	1850	"ir"			"Mornings at Matlock"	
"nyp.33433076093321"	1	"Lytton, Edward Bulwer Lytton, Baron"	"1803-1873."	"novel"	1	"v. 3 (My Novel, etc.)"		"m"	"NotFiction"	"New York;P.F. Collier;185"	1850	1850	"uk"			"The works of Edward Bulwer-Lytton (Lord Lytton)"	"English literature"
"uiuo.ark+=13960=t12n5hx3w"	3	"Hannay, James"	"1827-1873."	"novel"	3	"v.3"		"m"		"London;H. Colburn;1850."	1850	1850	"uk"			"Singleton Fontenoy, R.N"	"823H192S"
"uiuo.ark+=13960=t4fn1v66s"	2	"James, G. P. R. (George Payne Rainsford)"	"1799-1860."	"novel"	2	"v.2"		"m"		"London;Thomas Cautley New"	1851	1851	"uk"		"James, George Payne Rainsford"	"The fate"	"823J23FA"
"njp.32101068171212"	6	"Howitt, William"	"1792-1879."	"novel"	6	"vol.3"		"m"	"NotFiction"	"London;H. Colburn;1851."	1851	1851	"uk"			"Madam Dorrington of the Dene: the story of a life"	
"uc2.ark+=13960=t4zg6h95b"	1	"Trusta, H"	"1815-1852."	"novel"	1			"f"		"Andover;W.F. Draper;1851."	1851	1851	"us"	"Trusta, H"	"Phelps, Elizabeth Wooster Stuart"	"The sunny side"	
"nyp.33433074961859"	1	"Oliphant, Mrs. (Margaret)"	"1828-1897."	"novel"	1			"f"	"NotFiction"	"New York;Harper & brother"	1851	1851	"uk"		"Oliphant, Margaret"	"Caleb Field. A tale of the Puritans"	"Puritans|Fiction"
"nyp.33433075760821"	1			"novel"	1			"u"	"Fiction"	"London;Saunders & Otley;1"	1851	1851				"Extracts from the diary of a living physician"	"Miscellanea|English liter"
"uc1.b4102932"	2	"Trusta, H"	"1815-1852."	"novel"	2			"u"	"NotFiction"	"Philadelphia, New York, ["	1851	1851				"The sunny side; or, the country minister's wife"	"American Sunday-School Un"
"nyp.33433075754642"	1	"Tayler, Charles B. (Charles Benjamin)"	"1797-1875."	"novel"	1			"m"	"NotFiction"	"New York;Stanford and Swo"	1851	1851	"uk"			"The angels' song : a Christmas token"	
"uiuo.ark+=13960=t6sx6xq74"	2	"Smedley, Menella Bute"	"1820-1877."	"novel"	2	"v.2"		"f"		"London;G. Hoby;1851."	1851	1851	"uk"			"The story of a family"	
"uc1.$b358655"	1	"Lytton, Edward Bulwer Lytton, Baron"	"1803-1873."	"novel"	1	"v. 6"	1832	"m"	"NotFiction"	"London;New York;G. Routle"	1852	1852	"uk"			"Eugene Aram"	
"uc1.$b358653"	2	"Lytton, Edward Bulwer Lytton, Baron"	"1803-1873."	"novel"	1	"v. 4"	1871	"m"	"Fiction|NotFiction"	"London;New York;G. Routle"	1852	1852	"uk"			"The coming race. Falkland. Zicci. Pausanias the Spartan"	"the Spartan|Fiction|Pausa"
"wu.89087921466"	3	"Arthur, T. S. (Timothy Shay)"	"1809-1885."	"novel"	3			"m"	"Fiction"	"Boston;L.P. Crown & Co.;1"	1852	1852	"us"			"True riches : or, Wealth without wings"	
"nyp.33433076069602"	1	"Lee, Eliza Buckminster"	"1794-1864."	"novel"	1			"f"	"Fiction"	"Boston;Ticknor, Reed, and"	1852	1852	"us"			"Florence, the parish orphan; and A sketch of the village in the last century"	
"mdp.39015059417959"	3	"Taylor, Bayard"	"1825-1878."	"novel"	3	"V.11"		"m"	"UnknownGenre"	"New York;G.P. Putnam;1852"	1852	1852	"us"			"John Godfrey’s Fortunes"	
"njp.32101067178184"	1	"Thackeray, William Makepeace"	"1811-1863."	"novel"	1			"m"	"Fiction"	"New York;D. Appleton and "	1852	1852	"uk"			"Men's wives"	
"nnc1.cu50383493"	3	"Sealsfield, Charles"	"1793-1864."	"novel"	3			"m"	"NotFiction"	"London;Ingram, Cooke, & c"	1852	1852	"aus"		"Postl, Karl Anton"	"The cabin book: or, National characteristics"	
"uiuo.ark+=13960=t7cr65n7z"	3	"Daniel, Mackenzie"		"novel"	3	"v.2"		"f"		"London;Newby;1852"	1852	1852				"The student's wife"	
"uiuo.ark+=13960=t6b286f0k"	3	"Crawford, A"		"novel"	3	"v.1"		"u"		"London;T.C. Newby;1852."	1852	1852				"The double marriage"	
"uc2.ark+=13960=t1rf5kn0t"	2	"Arthur, T. S. (Timothy Shay)"	"1809-1885."	"novel"	2		1851	"m"		"Boston;L. Crown;1853."	1853	1853	"us"			"The way to prosper"	
"uc2.ark+=13960=t4pk08k78"	1	"Church, Pharcellus"	"1801-1886."	"novel"	1			"m"		"Boston;Jenks, Hickling an"	1853	1853	"us"			"Mapleton, or, More work for the Maine law"	
"nyp.33433074862305"	1	"Cambridge, William G"		"novel"	1			"m"	"NotFiction"	"Boston;Abel Tompkins and "	1853	1853	"us"			"Henri : or, the web and woof of life"	
"nyp.33433076079304"	2	"Huntington, J. V. (Jedediah Vincent)"	"1815-1862."	"novel"	2	"v. 1"		"m"	"NotFiction"	"New York;Redfield;1853."	1853	1853	"us"		"Huntington, Jedediah Vincent"	"Alban : or the history of a young Puritan"	
"nyp.33433076065501"	1	"Herbert, Henry William"	"1807-1858."	"novel"	1			"m"	"Fiction"	"Philadelphia;T. B. Peters"	1853	1853	"uk"			"The Roman traitor: or, The days of Cicero, Cato and Cataline.  A true tale of the republic"	"History|Republic, 265-30 "
"uiuo.ark+=13960=t86h5706q"	4	"Tautphoeus, Jemima Montgomery"	"1807-1893"	"novel"	4	"v.3"		"f"		"London;R. Bentley;1853."	1853	1853	"ir"			"Cyrilla"	"English fiction"
"uc2.ark+=13960=t7qn60w4n"	2	"Paxton, Philip"	"1816-1865."	"novel"	2			"m"		"New York;Redfield;1853."	1853	1853	"us"			"A stray Yankee in Texas"	
"njp.32101068164175"	1	"Maitland, James A"		"novel"	1			"m"	"Fiction"	"New-York;H. Long & Brothe"	1853	1853				"The old doctor: or, Stray leaves from my journal"	
"uiuo.ark+=13960=t6c25js1v"	4	"Tautphoeus, Jemima Montgomery"	"1807-1893."	"novel"	4	"v.2"		"f"		"London;R. Bentley;1853."	1853	1853	"ir"			"Cyrilla"	"English fiction"
"nyp.33433074864236"	2	"Kaye, John William, Sir"	"1814-1876."	"novel"	2	"v. 2"	1837	"m"	"Fiction"	"London;Chapman and Hall;1"	1854	1854	"uk"			"Jerningham: a story"	"English fiction"
"wu.89088299805"	10	"Lover, Samuel"	"1797-1868."	"novel"	1		1841	"m"	"Bibliographies|Fiction|No"	"Philadelphia;Coates;1854?"	1854	1854	"ir"			"Handy Andy : a tale of Irish life"	"Fiction|English literatur"
"njp.32101068176690"	3	"Davies, Christiana Jane"	"1822 or 3-1891"	"novel"	3	"v.2"		"f"		"London;Hurst and Blackett"	1854	1854				"The History of Herbert Lake"	
"njp.32101063600819"	1	"Townsend, Frederic"		"novel"	1				"NotFiction"	"New York;D. Appleton;1854"	1854	1854				"Letters from Rome, A.D. 138"	"Social life and customs"
"nyp.33433074859897"	1	"Gwynne, Talbot"		"novel"	1			"m"	"Fiction"	"New York;Riker, Thorne & "	1854	1854				"Nanette and her lovers; a tale of Normandy"	"English fiction"
"uva.x001687872"	1	"Holmes, Mary Jane"	"1825-1907."	"novel"	1			"f"	"NotFiction"	"New York;D. Appleton & co"	1854	1854	"us"			"Tempest and sunshine; or, Life in Kentucky"	
"njp.32101065713933"	1	"McDuff, J. R"	"1818-1895."	"novel"	1			"m"	"Fiction"	"New York;R. Carter & Bros"	1854	1854	"uk"			"The woodcutter of Lebanon, and The exiles of Lucerna"	
"nyp.33433082014881"	6	"Cooper, James Fenimore"	"1789-1851."	"novel"	2		1843	"m"	"Fiction|NotFiction"	"London;R. Bentley;1855."	1855	1851	"us"			"Wyandotte : or, the hutted knoll"	
"uiuo.ark+=13960=t5bc4m870"	4	"Sinclair, Catherine"	"1800-1864."	"novel"	4	"v.2"	1853	"f"		"London;R. Bentley;1855."	1855	1855	"uk"			"Cross purposes"	
"njp.32101068162740"	2	"Adams, F. Colburn (Francis Colburn)"		"novel"	2	"vol.1"		"m"	"Fiction"	"London;Sampson Low;1855."	1855	1855	"us"		"Adams, Francis Colburn"	"Our world, or, The democrat's rule"	
"wu.89098856669"	1	"Piatt, Louise Kirby"	"1826-1864."	"novel"	1			"f"	"Fiction"	"New York;J. C. Derby; [et"	1855	1855	"us"			"Bell Smith abroad"	"Description and travel"
"uiuo.ark+=13960=t8ff4942h"	3	"Maberly"	"1805-1875."	"novel"	3	"v.3"		"f"		"London;Hurst and Blackett"	1855	1855	"ir"		"Maberly, Catherine Charlotte"	"Display"	
"njp.32101067634244"	3	"Hannay, James"	"1827-1873."	"novel"	3	"v.2"		"m"	"NotFiction"	"London;Hurst;1855."	1855	1855	"uk"			"Eustace Conyers; a novel"	
"uc2.ark+=13960=t78s4tc10"	2	"Kavanagh, Julia"	"1824-1877."	"novel"	2		1855	"f"		"New York;Appleton;1856."	1856	1856	"ir"			"Rachel Gray"	
"uc2.ark+=13960=t1hh6mf0f"	3	"Jewett, Mrs. Susan W ]"		"novel"	3			"f"		"Cincinnati;Truman and Spo"	1856	1856	"us"			"The old corner cupboard;"	
"nyp.33433074880802"	7	"Marsh-Caldwell, Anne"	"1791-1874."	"novel"	7	"v. 1-2"		"f"	"NotFiction"	"Leipzig;1856."	1856	1856	"uk"			"Evelyn Marston;"	
"uiuo.ark+=13960=t8rb7pg9t"	3	"Scott"	"1784-1857"	"novel"	3	"v.1"		"f"		"London;R. Bentley;1856."	1856	1856	"uk"		"Scott, Caroline Lucy"	"The old grey church"	
"inu.30000054117191"	6	"Sewell, Elizabeth Missing"	"1815-1906."	"novel"	5	"v.1"		"m"	"Fiction"	"London;Longman, Brown, Gr"	1856	1856	"uk"			"Ivors"	
"uc1.$b807295"	3	"Dupuy, Eliza A. (Eliza Ann)"	"1814-1880."	"novel"	3			"f"	"NotFiction"	"New York;Harper & brother"	1856	1856	"us"			"The Huguenot exiles; or, The times of Louis XIV.  A historical novel"	"Fiction|Huguenots"
"uc2.ark+=13960=t78s4nw43"	1	"Oertel, Wilhelm"	"1798-1867."	"novel"	1			"m"		"New York;Ernst Kaufmann;1"	1856	1856	"de"	"von Horn, W.O."	"Wilhelm Philipp Oertel, Friedrich "	"Simon"	
"nyp.33433074942859"	1	"Conybeare, William John"	"1815-1857."	"novel"	1			"m"	"Fiction"	"New York;Wiley & Halsted;"	1856	1856	"uk"			"Perversion  : or, the causes and consequences of infidelity, a tale for the times"	
"uc1.$b809214"	2	"Hill, George Canning"	"1825-1898."	"novel"	2			"m"	"Fiction|NotFiction"	"Boston;Higgins & Bradley;"	1856	1856	"us"			"Amy Lee; or, Without and within"	
"uc2.ark+=13960=t46q29319"	31	"Wilson, John Mackay"	"1804-1835."	"novel"	11	"v.3"	1835	"m"	"Fiction|UnknownGenre"	"Manchester;Ainsworth; (et"	1857	1835	"uk"			"Wilson's tales of the borders, and of Scotland;"	"Borders of Scotland|Scott"
"coo.31924013521764"	9	"Marsh-Caldwell, Anne"	"1791-1874."	"novel"	9	"v.1"	1867	"f"	"NotFiction"	"Leipzig;Tauchnitz;1857."	1857	1857	"uk"			"The rose of Ashurst"	
"uiuo.ark+=13960=t4wh36k87"	1			"novel"	1	"v.3"				"London;Hurst and Blackett"	1857	1857				"The second wife"	
"uiuo.ark+=13960=t67375c09"	2	"Gore"	"1798-1861"	"novel"	2	"v.3"		"f"		"London;Hurst and Blankett"	1857	1857	"uk"		"Gore, Catherine Grace Frances"	"The two aristocracies"	
"wu.89098017916"	3	"Cummins, Maria S. (Maria Susanna)"	"1827-1866."	"novel"	2			"f"	"Fiction|NotFiction"	"London;Sampson Low, Son, "	1857	1857	"us"		"Cummins, Maria Susanna"	"Mabel Vaughan"	
"uc2.ark+=13960=t16m39m6z"	2	"Bede, Cuthbert"	"1827-1889."	"novel"	2			"m"		"London;R. Bentley;1857."	1857	1857	"uk"	"Bede, Cuthbert M."	"Bradley, Edward"	"Nearer and dearer"	
"uiuo.ark+=13960=t6rx9nf53"	3	"Goodrich, A. M"		"novel"	3	"v.1"		"u"		"London;J.W. Parker;1857."	1857	1857				"The myrtle and the heather"	"English fiction"
"coo.31924013459379"	1	"Grant, James"	"1822-1887."	"novel"	1			"m"	"NotFiction"	"London;J. & C. Brown;1857"	1857	1857	"uk"			"The highlanders of Glen Ora"	
"nyp.33433074898986"	1	"Manning, Anne"	"1807-1879."	"novel"	1			"f"	"Fiction"	"London;Printed for Arthur"	1857	1857	"uk"			"Helen and Olga : a Russian tale"	"English fiction"
"mdp.39015057226311"	1	"Reynolds, George W. M. (George William MacArthur)"	"1814-1879."	"novel"	1		1857	"m"	"NotFiction"	"London;J. Dicks;186-?"	1858	1858	"uk"			"The young duchess, or, Memoirs of a lady of quality; a sequel to Ellen Percy"	
"loc.ark+=13960=t3rv0tr58"	1	"Mortimer, Charlotte B"	"b. 1807"	"novel"	1			"f"		"New York;Stanford & Delis"	1858	1858	"us"			"Bethlehem and Bethlehem school"	"Pennsylvania|Moravian Sem"
"uiuo.ark+=13960=t1jh3ts50"	3	"Caddell, Cecilia Mary"	"d. 1877."	"novel"	3	"v.3"		"f"		"London;T. Cautley Newby, "	1858	1858	"uk"			"Home & the homeless"	
"nyp.33433074851183"	1	"Hallett, Emma V"		"novel"	1			"m"	"Fiction"	"Andover;Printed by W.F. D"	1858	1858				"Natalie : or, A gem among the sea-weeds"	
"nyp.33433076054083"	2	"Roe, A. S. (Azel Stevens)"	"1798-1886."	"novel"	2			"m"	"Fiction"	"New York;Derby & Jackson;"	1858	1858	"us"			"True to the last; or, Alone on a wide wide sea"	
"uiuo.ark+=13960=t6155734j"	5	"Sheppard, Elizabeth Sara"	"1830-1862."	"novel"	5	"v.2"		"f"		"London;Hurst and Blackett"	1858	1858	"uk"			"Rumour"	"Musical fiction"
"nyp.33433074920608"	4	"Austin, Alfred"	"1835-1913."	"novel"	4	"v. 2"		"m"	"NotFiction"	"London;J.F. Hope;1858."	1858	1858	"uk"			"Five years of it"	
"uiuo.ark+=13960=t2794hz6s"	2	"Hopton, Anna Maria"		"novel"	2	"v.1"		"f"		"Oxford;J. Henry and J. Pa"	1858	1858				"Dawn and twilight"	
"wu.89098006869"	1	"Rose, Henrietta"		"novel"	1			"f"	"Fiction"	"Columbus [Ind.;Osgood & P"	1858	1858	"us"			"Nora Wilmot: a tale of temperance and woman's rights"	"Women|Suffrage"
"uc2.ark+=13960=t5gb1z098"	1	"Langdon, Mary"	"1824-1908."	"novel"	1			"f"		"Boston;Phillips, Sampson "	1858	1858	"us"			"Agnes"	
